n,generations,population_size,selection_type,mutation_type,p_m,crossover_type,p_c,fitness_val,abs_fitness_val,execution_time,execution_time_brute_force,err,err_percentage,exec_time_rate
5,100,200,elitist,swap,0.4,order,0.8000000000000002,6860.25,6473.75,0.0131,0.0013,386.5,5.970264529832008,0.09921927395141479
5,100,200,elitist,swap,0.6000000000000001,order,0.8000000000000002,7029.75,6473.75,0.0132,0.0013,556.0,8.588530604363783,0.09814062888100937
5,100,200,elitist,swap,0.8000000000000002,order,0.8000000000000002,6880.25,6473.75,0.0128,0.0013,406.5,6.279204479629271,0.10126653294703217
5,100,200,elitist,insert,0.4,pmx,0.4,7184.25,6473.75,0.0101,0.0013,710.5,10.975091716547595,0.12800420686902833
5,100,200,elitist,insert,0.6000000000000001,pmx,0.4,7168.25,6473.75,0.0087,0.0013,694.5,10.727939756709787,0.1481120008692345
5,100,200,elitist,insert,0.8000000000000002,pmx,0.4,7089.75,6473.75,0.0095,0.0013,616.0,9.515350453755545,0.13634214842968592
5,100,200,elitist,insert,0.4,pmx,0.6000000000000001,6965.25,6473.75,0.0114,0.0013,491.5,7.592199266267613,0.1138590323456326
5,100,200,elitist,insert,0.6000000000000001,pmx,0.6000000000000001,7089.75,6473.75,0.0118,0.0013,616.0,9.515350453755545,0.10971899549259498
5,100,200,elitist,insert,0.8000000000000002,pmx,0.6000000000000001,7109.75,6473.75,0.0107,0.0013,636.0,9.824290403552808,0.12055795524896082
5,100,200,elitist,insert,0.4,pmx,0.8000000000000002,6860.25,6473.75,0.0131,0.0013,386.5,5.970264529832008,0.09905164946955385
5,100,200,elitist,insert,0.6000000000000001,pmx,0.8000000000000002,6801.75,6473.75,0.0124,0.0013,328.0,5.066615176675029,0.1041744559714182
5,100,200,elitist,insert,0.8000000000000002,pmx,0.8000000000000002,6801.75,6473.75,0.0120,0.0013,328.0,5.066615176675029,0.1075377721678763
5,100,200,elitist,insert,0.4,order,0.4,7253.75,6473.75,0.0096,0.0013,780.0,12.048658042093066,0.1353908375338316
5,100,200,elitist,insert,0.6000000000000001,order,0.4,7325.75,6473.75,0.0084,0.0013,852.0,13.160841861363195,0.15402811299435026
5,100,200,elitist,insert,0.8000000000000002,order,0.4,7253.75,6473.75,0.0081,0.0013,780.0,12.048658042093066,0.15977832737502198
5,100,200,elitist,insert,0.4,order,0.6000000000000001,7217.25,6473.75,0.0110,0.0013,743.5,11.484842633713072,0.11765736357162894
5,100,200,elitist,insert,0.6000000000000001,order,0.6000000000000001,7184.25,6473.75,0.0111,0.0013,710.5,10.975091716547595,0.1162228540978365
5,100,200,elitist,insert,0.8000000000000002,order,0.6000000000000001,7119.75,6473.75,0.0100,0.0013,646.0,9.97876037845144,0.12994435785610448
5,100,200,elitist,insert,0.4,order,0.8000000000000002,7089.75,6473.75,0.0264,0.0013,616.0,9.515350453755545,0.04920271072649997
5,100,200,elitist,insert,0.6000000000000001,order,0.8000000000000002,7029.75,6473.75,0.0118,0.0013,556.0,8.588530604363783,0.10926606548835717
5,100,200,elitist,insert,0.8000000000000002,order,0.8000000000000002,6929.25,6473.75,0.0125,0.0013,455.5,7.036107356632556,0.10321997539044013
5,100,200,elitist,scramble,0.4,pmx,0.4,7217.25,6473.75,0.0095,0.0013,743.5,11.484842633713072,0.1365641094998372
5,100,200,elitist,scramble,0.6000000000000001,pmx,0.4,7251.75,6473.75,0.0092,0.0013,778.0,12.017764047113346,0.140490974208343
5,100,200,elitist,scramble,0.8000000000000002,pmx,0.4,7168.25,6473.75,0.0082,0.0013,694.5,10.727939756709787,0.1569092143884892
5,100,200,elitist,scramble,0.4,pmx,0.6000000000000001,7029.75,6473.75,0.0109,0.0013,556.0,8.588530604363783,0.11904969760485579
5,100,200,elitist,scramble,0.6000000000000001,pmx,0.6000000000000001,6965.25,6473.75,0.0105,0.0013,491.5,7.592199266267613,0.12368929519315836
5,100,200,elitist,scramble,0.8000000000000002,pmx,0.6000000000000001,7119.75,6473.75,0.0098,0.0013,646.0,9.97876037845144,0.13208486228531285
5,100,200,elitist,scramble,0.4,pmx,0.8000000000000002,6857.75,6473.75,0.0126,0.0013,384.0,5.93164703610735,0.10241731061815586
